No. overall [n 1],No. in season,Title [n 2],Directed by,Written by,Animation directed by,Original release date [n 3],Viewership rating [n 5]
1089,1,"""Entering a New Chapter! Luffy and Sabo's Paths!"" Transliteration: ""Shinshō Totsunyū! Rufi to Sabo no Shinro!"" (Japanese: 新章突入！ルフィとサボの針路！)",Nozomu Shishido,Jin Tanaka,"Ziwei He, Keisuke Mori, Shūichi Itō & Midori Matsuda","January 7, 2024",3.3%[12]
1090,2,"""A New Island! Future Island Egghead"" Transliteration: ""Atarashī Shima! Mirai Shima Egguheddo"" (Japanese: 新しい島！未来島エッグヘッド)",Yusuke Suzuki,Tomohiro Nakayama,Masayuki Takagi,"January 14, 2024",3.7%[13]
1091,3,"""Brimming with the Future! An Adventure on the Island of Science!"" Transliteration: ""Mirai Mansai! Kagaku no Kuni no Bōken!"" (Japanese: 未来満載！科学の国の冒険！)","Directed by : Shō Matsui Storyboarded by : Shō Matsui, Yasunori Koyama & Satoshi Itō",Shōji Yonemura,Keita Saitō & Kimitaka Itō,"January 21, 2024",3.2%[14]
1092,4,"""Bonney's Lamentation! Darkness Lurking on the Future Island"" Transliteration: ""Bonī no Dōkoku! Mirai Shima ni Hisomu Yami"" (Japanese: ボニーの慟哭！未来島に潜む闇)",Katsumi Tokoro,Ryo Yamazaki,Shigefumi Shingaki,"January 28, 2024",3.5%[15]
1093,5,"""The Winner Takes All! Law vs. Blackbeard!"" Transliteration: ""Shōsha Sōtori! Rō tai Kurohige!"" (Japanese: 勝者総取り！ローVS（たい）黒ひげ！)",Shō Inuzuka,Atsuhiro Tomioka,Kazuya Hisada & Katsumi Ishizuka,"February 11, 2024",2.9%[16]
1094,6,"""The Mystery Deepens! Egghead Labophase"" Transliteration: ""Fukamaru Nazo! Egguheddo Rabofēzu"" (Japanese: 深まる謎！エッグヘッド研究層（ラボフェーズ）)",Yasuhiro Tanabe,Akiko Inoue,Masahiro Kitazaki,"February 18, 2024",3.1%[17]
1095,7,"""The Brain of a Genius - Six Vegapunks!"" Transliteration: ""Tensai no Zunō - Roku-nin no Begapanku!"" (Japanese: 天才の頭脳 6（ろく）人のベガパンク！)",Directed by : Eri Hyun Storyboarded by : Masahiro Hosoda & Satoshi Itō,Shinzō Fujita,"Toshio Deguchi, RA Craft & Grand Guerilla","February 25, 2024",3.0%[18]
1096,8,"""A Forbidden Piece of History! A Theory Concerning a Kingdom"" Transliteration: ""Kinji Rareta Rekishi! Aru Ōkoku no Kasetsu"" (Japanese: 禁じられた歴史！ある王国の仮説)",Tasuku Shimaya,Jin Tanaka,Masahiro Shimanuki,"March 3, 2024",3.2%[19]
1097,9,"""The Will of Ohara! The Inherited Research"" Transliteration: ""Ohara no Ishi! Uketsugareru Kenkyū"" (Japanese: オハラの意志！受け継がれる研究)",Hazuki Omoya,Tomohiro Nakayama,Kenji Yokoyama,"March 17, 2024",3.1%[20]
1098,10,"""The Eccentric Dream of a Genius!"" Transliteration: ""Kisō Tengai! Tensai ga Omoiegaku Yume!"" (Japanese: 奇想天外！天才が想い描く夢！)",Toshinori Fukuzawa,Shōji Yonemura,Shūichi Itō,"March 24, 2024",3.1%[21]
1099,11,"""Preparations for Interception! Rob Lucci Strikes!"" Transliteration: ""Geigeki Junbi! Robu Rutchi Shūrai!"" (Japanese: 迎撃準備！ロブ・ルッチ襲来！)",Directed by : Kenichi Takeshita Storyboarded by : Kenichi Takeshita & Yutaka Nakashima,Ryo Yamazaki,Masayuki Takagi,"March 31, 2024",2.9%[22]
1100,12,"""Powers on a Different Level! Luffy vs. Lucci!"" Transliteration: ""I Jigen no Chikara! Rufi tai Rutchi!"" (Japanese: 異次元の力！ルフィVS（たい）ルッチ！)",Nozomu Shishido,Atsuhiro Tomioka,"Keita Saitō, Kimitaka Itō & Hiroyasu Oda","April 7, 2024",3.0%[23]
1101,13,"""The Strongest Form of Humanity! The Seraphim's Powers!"" Transliteration: ""Saikyō no Jinrui! Serafimu no Nōryoku!"" (Japanese: 最強の人類！セラフィムの能力！)",Wataru Matsumi,Akiko Inoue,Yong-Ce Tu & Ziwei He,"April 21, 2024",
1102,14,"""Sinister Schemes! The Operation to Escape Egghead"" Transliteration: ""Ugomeku Inbō! Egguheddo Dasshutsu Sakusen"" (Japanese: 蠢く陰謀！エッグヘッド脱出作戦)",Yusuke Suzuki,Shinzō Fujita,Shigefumi Shingaki,"April 28, 2024",2.6%[24]
1103,15,"""Turn Back My Father! Bonney's Futile Wish!"" Transliteration: ""Chichi o Modose! Hakanaki Bonī no Negai!"" (Japanese: 父を戻せ！儚きボニーの願い！)",Katsumi Tokoro,Jin Tanaka,Kazuya Hisada,"May 5, 2024",2.6%[25]
1104,16,"""A Desperate Situation! The Seraphim's All-out Attack!"" Transliteration: ""Zettai Zetsumei! Serafimu Sō Kōgeki!"" (Japanese: 絶体絶命！セラフィム総攻撃！)","Directed by : Shō Matsui Storyboarded by : Shō Matsui, Yasunori Koyama & Shō Inuzuka",Tomohiro Nakayama,Masahiro Kitazaki,"May 12, 2024",2.7%[26]
1105,17,"""A Beautiful Act of Treason! The Spy, Stussy!"" Transliteration: ""Uruwashiki Hangyaku! Naitsū-sha Sutyūshī"" (Japanese: 麗しき反逆！内通者ステューシー)",Hazuki Omoya,Shōji Yonemura,"Toshio Deguchi, RA Craft & Grand Guerilla","May 19, 2024",2.9%[27]
1106,18,"""Trouble Occurs! Seek Dr. Vegapunk!"" Transliteration: ""Ijō Hassei! Sagase! Dokutā Begapanku"" (Japanese: 異常発生！探せ！Dr.（ドクター）ベガパンク)",Directed by : Eri Hyun Storyboarded by : Yasunori Koyama & Eri Hyun,Ryo Yamazaki,Eisaku Inoue,"May 26, 2024",2.8%[28]
1107,19,"""A Shudder! The Evil Hand Creeping Up on the Laboratory"" Transliteration: ""Senritsu! Kenkyūjo e Shinobiyoru Ma no Te"" (Japanese: 戦慄！研究所へ忍び寄る魔の手)",Tasuku Shimaya,Akiko Inoue,Kenji Yokoyama,"June 2, 2024",2.7%[29]
1108,20,"""Incomprehensible! The Seraphim's Rebellion!"" Transliteration: ""Rikai Funō! Serafimu no Hangyaku!"" (Japanese: 理解不能！セラフィムの反逆！)",Directed by : Atsuo Yamai Storyboarded by : Tatsuya Nagamine,Shinzō Fujita,Masahiro Shimanuki,"June 9, 2024",2.8%[30]
1109,21,"""A Tough Decision! An Unusual United Front!"" Transliteration: ""Kujū no Ketsudan! Ishoku no Kyōtō Sensen!"" (Japanese: 苦渋の決断！異色の共闘戦線！)",Directed by : Nanami Michibata Storyboarded by : Masahiro Hosoda & Nanami Michibata,Jin Tanaka,Masayuki Takagi,"June 23, 2024",3.5%[31]
1110,22,"""Survive! Deadly Combat with the Strongest Form of Humanity!"" Transliteration: ""Ikinokore! Saikyō no Jinrui to no Shitō"" (Japanese: 生き残れ！最強の人類との死闘)",Katsumi Tokoro,Tomohiro Nakayama,Shūichi Itō & Nobuyuki Iwai,"June 30, 2024",2.7%[32]
1111,23,"""The Second Ohara! The Mastermind's Ambition!"" Transliteration: ""Ohara no Sairai! Kuromaku no Yabō!"" (Japanese: オハラの再来！黒幕の野望！)",Toshinori Fukuzawa,Shōji Yonemura,"Keita Saitō, Kimitaka Itō & Keisuke Mori","July 7, 2024",2.9%[33]
1112,24,"""Clash! Shanks vs. Eustass Kid"" Transliteration: ""Gekitotsu! Shankusu tai Yūsutasu Kiddo"" (Japanese: 激突！シャンクスVS（たい）ユースタス・キッド)",Wataru Matsumi,Ryo Yamazaki,Yong-Ce Tu & Ziwei He,"July 14, 2024",3.1%[34]
1113,25,"""Run, Koby! A Desperate Escape Strategy!"" Transliteration: ""Hashire Kobī! Kesshi no Dasshutsu Sakusen!"" (Japanese: 走れコビー！決死の脱出作戦！)",Yusuke Suzuki,Atsuhiro Tomioka,Shigefumi Shingaki & Toshio Deguchi,"July 28, 2024",2.7%[35]
1114,26,"""For the Beloved Pupil - The Fist of Vice Admiral Garp!"" Transliteration: ""Manadeshi no Tame - Gāpu Chūjō no Genkotsu!"" (Japanese: 愛弟子のため ガープ中将の拳骨！)",Hazuki Omoya,Akiko Inoue,Kazuya Hisada & Hone Hone,"August 4, 2024",2.7%[36]
1115,27,"""The Navy Surprised! The Navy Headquarters' Former Admiral, Kuzan"" Transliteration: ""Kaigun Kyōgaku! Moto Kaigun Honbu Taishō Kuzan"" (Japanese: 海軍驚愕！元海軍本部大将クザン)",Nozomu Shishido,Shinzō Fujita,"Masahiro Kitazaki, Hiroyasu Oda, Hone Hone, RA Craft & Grand Guerrilla","August 11, 2024",2.7%[37]
